AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
33,25,25,18,18,18,18,18,18,18,18,40,18,18,25,18,40,18,40,18,33,25,18,18,18,18,18,33,18,18,40,18,18,25,25,25,40,18,25,18,25,25,25,18,33,18,40,25,25,25,18,25,25,18,18,18,18,18,18,18,40,40,25,18,18,18
33,25,25,19,14,19,14,14,14,14,19,39,14,19,25,14,39,14,39,14,28,25,19,19,14,14,19,33,19,19,39,19,14,25,25,25,39,14,25,19,25,25,25,19,33,19,39,25,25,25,19,25,25,19,19,19,19,14,19,19,39,39,25,19,14,14
40,27,27,28,29,28,29,29,29,29,28,39,29,28,27,29,39,29,39,29,41,27,28,28,29,29,28,40,28,28,39,28,29,27,27,27,39,29,27,28,27,27,27,28,40,28,39,27,27,27,28,27,27,28,28,28,28,29,28,28,39,39,27,28,29,29
51,26,26,41,25,41,25,25,25,25,41,36,25,41,26,25,36,25,36,25,35,26,41,41,25,25,41,51,41,41,36,41,25,26,26,26,36,25,26,41,26,26,26,41,51,41,36,26,26,26,41,26,26,41,41,41,41,25,41,41,36,36,26,41,25,25
57,26,26,36,30,36,30,30,30,30,36,47,30,36,26,30,47,30,47,30,51,26,36,36,30,30,36,57,36,36,47,36,30,26,26,26,47,30,26,36,26,26,26,36,57,36,47,26,26,26,36,26,26,36,36,36,36,30,36,36,47,47,26,36,30,30
56,29,29,39,27,39,27,27,27,27,39,46,27,39,29,27,46,27,46,27,44,29,39,39,27,27,39,56,39,39,46,39,27,29,29,29,46,27,29,39,29,29,29,39,56,39,46,29,29,29,39,29,29,39,39,39,39,27,39,39,46,46,29,39,27,27
57,25,25,40,27,40,27,27,27,27,40,42,27,40,25,27,42,27,42,27,44,25,40,40,27,27,40,57,40,40,42,40,27,25,25,25,42,27,25,40,25,25,25,40,57,40,42,25,25,25,40,25,25,40,40,40,40,27,40,40,42,42,25,40,27,27
60,28,28,36,24,36,24,24,24,24,36,52,24,36,28,24,52,24,52,24,48,28,36,36,24,24,36,60,36,36,52,36,24,28,28,28,52,24,28,36,28,28,28,36,60,36,52,28,28,28,36,28,28,36,36,36,36,24,36,36,52,52,28,36,24,24
84,56,56,50,29,50,29,29,29,29,50,90,29,50,56,29,90,29,90,29,63,56,50,50,29,29,50,84,50,50,90,50,29,56,56,56,90,29,56,50,56,56,56,50,84,50,90,56,56,56,50,56,56,50,50,50,50,29,50,50,90,90,56,50,29,29
58,21,21,38,16,38,16,16,16,16,38,41,16,38,21,16,41,16,41,16,36,21,38,38,16,16,38,58,38,38,41,38,16,21,21,21,41,16,21,38,21,21,21,38,58,38,41,21,21,21,38,21,21,38,38,38,38,16,38,38,41,41,21,38,16,16
55,27,27,33,19,33,19,19,19,19,33,49,19,33,27,19,49,19,49,19,41,27,33,33,19,19,33,55,33,33,49,33,19,27,27,27,49,19,27,33,27,27,27,33,55,33,49,27,27,27,33,27,27,33,33,33,33,19,33,33,49,49,27,33,19,19
32,20,20,17,17,17,17,17,17,17,17,35,17,17,20,17,35,17,35,17,32,20,17,17,17,17,17,32,17,17,35,17,17,20,20,20,35,17,20,17,20,20,20,17,32,17,35,20,20,20,17,20,20,17,17,17,17,17,17,17,35,35,20,17,17,17
46,20,20,28,16,28,16,16,16,16,28,38,16,28,20,16,38,16,38,16,34,20,28,28,16,16,28,46,28,28,38,28,16,20,20,20,38,16,20,28,20,20,20,28,46,28,38,20,20,20,28,20,20,28,28,28,28,16,28,28,38,38,20,28,16,16
57,29,29,40,20,40,20,20,20,20,40,46,20,40,29,20,46,20,46,20,37,29,40,40,20,20,40,57,40,40,46,40,20,29,29,29,46,20,29,40,29,29,29,40,57,40,46,29,29,29,40,29,29,40,40,40,40,20,40,40,46,46,29,40,20,20
59,31,31,32,24,32,24,24,24,24,32,58,24,32,31,24,58,24,58,24,51,31,32,32,24,24,32,59,32,32,58,32,24,31,31,31,58,24,31,32,31,31,31,32,59,32,58,31,31,31,32,31,31,32,32,32,32,24,32,32,58,58,31,32,24,24
67,30,30,44,20,44,20,20,20,20,44,53,20,44,30,20,53,20,53,20,43,30,44,44,20,20,44,67,44,44,53,44,20,30,30,30,53,20,30,44,30,30,30,44,67,44,53,30,30,30,44,30,30,44,44,44,44,20,44,44,53,53,30,44,20,20
57,28,28,31,20,31,20,20,20,20,31,54,20,31,28,20,54,20,54,20,46,28,31,31,20,20,31,57,31,31,54,31,20,28,28,28,54,20,28,31,28,28,28,31,57,31,54,28,28,28,31,28,28,31,31,31,31,20,31,31,54,54,28,31,20,20
60,31,31,36,21,36,21,21,21,21,36,55,21,36,31,21,55,21,55,21,45,31,36,36,21,21,36,60,36,36,55,36,21,31,31,31,55,21,31,36,31,31,31,36,60,36,55,31,31,31,36,31,31,36,36,36,36,21,36,36,55,55,31,36,21,21
57,26,26,34,25,34,25,25,25,25,34,49,25,34,26,25,49,25,49,25,48,26,34,34,25,25,34,57,34,34,49,34,25,26,26,26,49,25,26,34,26,26,26,34,57,34,49,26,26,26,34,26,26,34,34,34,34,25,34,34,49,49,26,34,25,25
31,19,19,14,11,14,11,11,11,11,14,36,11,14,19,11,36,11,36,11,28,19,14,14,11,11,14,31,14,14,36,14,11,19,19,19,36,11,19,14,19,19,19,14,31,14,36,19,19,19,14,19,19,14,14,14,14,11,14,14,36,36,19,14,11,11
32,25,25,23,18,23,18,18,18,18,23,34,18,23,25,18,34,18,34,18,27,25,23,23,18,18,23,32,23,23,34,23,18,25,25,25,34,18,25,23,25,25,25,23,32,23,34,25,25,25,23,25,25,23,23,23,23,18,23,23,34,34,25,23,18,18
52,25,25,35,21,35,21,21,21,21,35,42,21,35,25,21,42,21,42,21,38,25,35,35,21,21,35,52,35,35,42,35,21,25,25,25,42,21,25,35,25,25,25,35,52,35,42,25,25,25,35,25,25,35,35,35,35,21,35,35,42,42,25,35,21,21
48,26,26,25,21,25,21,21,21,21,25,49,21,25,26,21,49,21,49,21,44,26,25,25,21,21,25,48,25,25,49,25,21,26,26,26,49,21,26,25,26,26,26,25,48,25,49,26,26,26,25,26,26,25,25,25,25,21,25,25,49,49,26,25,21,21
50,25,25,32,21,32,21,21,21,21,32,43,21,32,25,21,43,21,43,21,39,25,32,32,21,21,32,50,32,32,43,32,21,25,25,25,43,21,25,32,25,25,25,32,50,32,43,25,25,25,32,25,25,32,32,32,32,21,32,32,43,43,25,32,21,21
40,23,23,26,18,26,18,18,18,18,26,37,18,26,23,18,37,18,37,18,32,23,26,26,18,18,26,40,26,26,37,26,18,23,23,23,37,18,23,26,23,23,23,26,40,26,37,23,23,23,26,23,23,26,26,26,26,18,26,26,37,37,23,26,18,18
