"tree_ID";"year";"dbh_cm";"BAI_growth";"density_plot";"pollen_index";"cone_count";"resources_NPP_castanea"
268;1999;19.7829594263226;NA;250;NA;NA;8737.62659627842
268;2000;20.7697200734923;31.4283266123566;250;NA;NA;8817.36115962598
268;2001;21.4222553401691;21.6233873995014;250;NA;NA;7267.53638846394
268;2002;21.8678891808264;15.1515505823485;250;2;9;9826.4587417344
268;2003;22.2816920328653;14.3486138944498;250;0;3;5165.64647547864
268;2004;22.9819737824697;24.8950161984343;250;0;10;11126.591303713
268;2005;23.3639456458902;13.9037758285079;250;0;25;7791.97127070842
268;2006;23.8095794865475;16.5107337963532;250;NA;NA;6996.35724278614
277;1999;22.6954948849043;NA;1200;NA;NA;12208.204935927
277;2000;23.5549315776005;31.2190378621907;1200;NA;NA;11749.3305559971
277;2001;24.3188753044416;28.7242841292253;1200;NA;NA;9703.57270651335
277;2002;24.8281711223357;19.6588185707109;1200;4;0;12809.5138856999
277;2003;25.1783119971378;13.7517828578553;1200;4;0;5345.95240380376
277;2004;25.783100780887;24.2066710695619;1200;4;0;9441.92620590777
277;2005;26.2287346215444;18.2041423908508;1200;3;0;8753.11870320765
277;2006;26.5788754963465;14.5220927824201;1200;NA;NA;6609.18414463625
279;1999;17.7776071433647;NA;1200;NA;NA;11807.2580981143
279;2000;18.3187339498772;15.3409449646278;1200;NA;NA;11157.5408885081
279;2001;18.7166213076069;11.5735485179638;1200;NA;NA;9013.52839523147
279;2002;19.0667621824091;10.3904304597543;1200;2;0;12041.4090676626
279;2003;19.4487340458296;11.5546488684716;1200;1;0;5360.25898371353
279;2004;19.8943678864869;13.7700856763108;1200;2;0;9016.17220719592
279;2005;20.1808467840523;9.01692330087127;1200;1;0;8378.95289781633
279;2006;20.5309876588545;11.1957544717994;1200;NA;NA;6824.64591645407
283;1999;22.4408469759572;NA;250;NA;NA;11165.5181569789
283;2000;23.5390160832913;39.6576318886019;250;NA;NA;11265.3540396249
283;2001;24.3347907987508;29.9211293012762;250;NA;NA;9040.34638306247
283;2002;25.0669035369735;28.4059742430416;250;2;0;12498.5147999517
283;2003;26.3242275873995;50.7487419853185;250;0;3;6452.31174088282
283;2004;27.5338051548979;51.1651311051826;250;0;11;13999.7423002222
283;2005;28.552396790686;44.8689615564671;250;0;33;10172.8010403677
283;2006;29.4436644720006;40.5972428838805;250;NA;NA;8959.14877416737
285;1999;20.5150721645453;NA;1200;NA;NA;11973.0815563238
285;2000;21.1835229255313;21.8917624222902;1200;NA;NA;11363.2588637167
285;2001;21.8838046751356;23.6870301803668;1200;NA;NA;9297.08838075689
285;2002;22.4567624702664;19.9532552154309;1200;0;14;12351.348749742
285;2003;22.8864808166146;15.3033446093224;1200;0;1;5354.4558723424
285;2004;23.4912696003638;22.0294314480647;1200;0;9;9181.04646012746
285;2005;23.7777484979292;10.6355290721158;1200;0;43;8527.05046781226
285;2006;24.1915513499681;15.5900224505666;1200;NA;NA;6744.01241382166
288;1999;15.0719731108025;NA;1200;NA;NA;10856.7080465578
288;2000;15.6926773888609;14.9977671185859;1200;NA;NA;10057.8253890054
288;2001;16.1542267238274;11.5445027408495;1200;NA;NA;7773.84750426519
288;2002;16.5998605644847;11.4639305509092;1200;2;6;10650.8835442346
288;2003;16.8385929791225;6.2697100394264;1200;1;0;5237.21001940254
288;2004;17.1569028653063;8.49887396110719;1200;0;0;8279.44626102326
288;2005;17.4433817628717;7.78506404134006;1200;0;1;7721.40750073299
288;2006;17.7935226376739;9.69014871015003;1200;NA;NA;6973.9183220884
292;1999;23.4753541060546;NA;250;NA;NA;12862.0325715717
292;2000;24.1756358556589;26.2080444789424;250;NA;NA;12970.2026216162
292;2001;24.605354202007;16.4635841444622;250;NA;NA;10332.4977895023
292;2002;25.194227491447;23.0323065332224;250;4;0;14275.9867601281
292;2003;25.6239458377952;17.1511334986193;250;4;0;7223.57486555744
292;2004;26.196903632926;23.3193822618246;250;4;0;15884.8533118382
292;2005;26.5470445077281;14.5045857386799;250;4;0;11939.93854834
292;2006;27.0563403256222;21.4413539333401;250;NA;NA;10392.4604893264
296;1999;12.0798601806749;NA;1200;NA;NA;8676.60806395269
296;2000;12.4618320440954;7.36250766743109;1200;NA;NA;7945.57201078414
296;2001;12.7323954473516;5.35377334193245;1200;NA;NA;5932.67254782276
296;2002;12.9870433562987;5.14388776073007;1200;0;0;8338.0718006633
296;2003;13.0825363221538;1.95521847588392;1200;0;0;4481.98558620862
296;2004;13.4645081855743;7.96411335231846;1200;0;0;6873.50136939213
296;2005;13.6236631286662;3.38602141428007;1200;0;0;6403.47675414374
296;2006;13.8146490603765;4.11574682835644;1200;NA;NA;6578.47506468967
311;1999;28.6001432736136;NA;250;NA;NA;15836.9158864298
311;2000;29.3163405175271;32.5780221325166;250;NA;NA;15881.5970666465
311;2001;29.9847912785131;31.1330941929209;250;NA;NA;12497.6645621819
311;2002;30.5259180850255;25.7170514795043;250;0;70;17133.8120612778
311;2003;31.0988758801563;27.7311572843315;250;0;0;8086.05740398643
311;2004;31.7354956525239;31.4171857663401;250;0;9;18961.0303147771
311;2005;32.3402844362731;30.4359955421789;250;0;100;15143.8532980435
311;2006;32.5312703679834;9.7307332206384;250;NA;NA;13245.4954038945
321;1999;21.9474666523724;NA;1200;NA;NA;12059.969609689
321;2000;22.838734333687;31.3503406902415;1200;NA;NA;11499.9563161862
321;2001;23.6663400377648;30.2282983414437;1200;NA;NA;9498.20229544996
321;2002;24.3029598101324;23.9846499239486;1200;2;2;12575.7033561427
321;2003;24.7963401337173;19.0259787282418;1200;0;1;5348.13226641985
