AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
5,0,8,17,0,0,0,6,0,5,0,0,1,341,5,69,0,0,22,2,0,19,30,0,0,1,12,4,10,14,1,0,0,8,0,0,0,0,3,2,0,0,105,440,0,0,1,0,31,2,10,8,0,6,0,0,0,0,3,0,217,2823,0,0,4,0
5,1,10,0,1,0,0,0,1,1,0,70,5,414,3,53,0,0,8,4,0,0,13,0,4,1,1,1,10,8,2,0,0,6,0,1,0,0,11,0,0,0,32,53,4,0,3,0,49,31,37,2,0,1,1,0,0,1,6,0,413,2955,0,0,2,4
1,14,18,0,1,0,1,3,0,1,0,27,1,1019,5,60,8,0,0,0,0,0,5,0,5,0,4,0,32,5,0,0,0,0,0,0,0,0,0,2,1,0,4,0,2,0,0,0,18,2,7,13,0,0,0,0,0,0,4,0,512,4856,0,0,5,6
2,2,20,0,2,0,0,0,1,1,0,32,0,465,3,53,3,0,0,0,1,0,9,0,0,0,8,0,12,4,0,0,0,0,0,0,1,0,0,1,0,0,8,66,1,0,12,0,54,49,23,3,0,0,0,0,0,0,8,0,289,3430,0,0,7,2
1,23,0,0,0,46,25,0,20,7,0,10,12,321,24,8,2,2,50,0,0,206,10,340,0,22,10,2,8,5,1,0,3,341,0,0,0,2,227,14,7,0,0,18,1,0,0,11,22,0,5,2,19,0,0,0,0,3,2,0,235,169,3,0,0,0
1,1,0,0,0,1,28,0,34,2,0,10,2,205,7,3,6,0,100,1,1,34,7,0,4,24,9,0,3,4,11,0,3,273,0,2,0,5,160,6,3,0,12,46,3,0,1,15,138,0,8,2,20,0,0,0,0,2,2,0,691,67,2,0,0,2
0,76,0,0,0,38,14,0,28,5,3,3,3,230,17,6,1,0,86,1,0,129,7,40,2,29,19,5,9,6,3,0,1,501,0,0,0,3,158,5,4,0,16,32,1,0,0,15,52,0,16,4,0,0,0,0,0,10,8,0,290,107,3,0,0,0
1,1,0,0,0,9,9,0,34,0,0,0,0,32,5,16,2,5,244,0,1,43,13,0,11,19,7,8,3,3,0,0,0,882,0,3,0,1,24,1,7,0,13,71,1,0,46,5,121,0,22,5,1,3,0,0,0,6,2,0,170,35,1,0,1,4
1,378,0,79,0,9,19,0,23,0,122,2,6,118,70,8,11,2,39,0,2,148,39,179,0,18,14,4,6,0,0,0,0,157,0,0,1,10,213,2,1,0,28,41,3,0,0,3,83,0,4,5,0,0,0,200,0,4,2,0,605,249,3,0,11,5
1,9,1,32,0,5,6,1,24,0,0,0,5,68,6,20,0,9,337,2,0,9,17,65,0,23,6,19,2,1,0,0,1,223,0,0,0,5,189,1,1,0,171,95,2,0,0,17,138,0,22,0,0,3,1,0,0,2,1,0,430,53,0,0,10,2
